SensorType,Px_pred,Py_pred,Vx_pred,Vy_pred,Px_meas,Py_meas,Px_gt,Py_gt,Vx_gt,Vy_gt,NIS
L,-0.607066,11.9408,-1.68594,-4.7078,-0.582624,12.0386,-0.78235,11.9083,-2.23144,-4.65456,0.533428
R,-0.737495,11.7129,-1.74529,-4.69443,-1.26757,11.6495,-0.892931,11.6751,-2.19304,-4.67598,2.69336
L,-0.93932,11.4702,-1.97038,-4.70021,-1.17212,11.3988,-1.00163,11.4409,-2.15594,-4.69628,3.86269
R,-1.05003,11.2446,-1.99854,-4.64065,-0.891441,10.959,-1.1085,11.2057,-2.12017,-4.71549,2.54467
L,-1.22866,11.0188,-2.16111,-4.62142,-1.39289,11.0424,-1.21362,10.9695,-2.08575,-4.73364,1.81105
R,-1.30311,10.771,-2.00489,-4.73055,-1.29894,10.9012,-1.31706,10.7324,-2.05273,-4.75075,1.70072
L,-1.43173,10.5178,-2.03366,-4.76414,-1.49687,10.4198,-1.41889,10.4945,-2.02111,-4.76686,0.772977
R,-1.51696,10.2538,-1.91683,-4.86586,-1.59293,10.0212,-1.51917,10.2559,-1.99093,-4.78198,1.58839
L,-1.61326,10.0442,-1.88352,-4.83648,-1.61875,10.2374,-1.61797,10.0165,-1.96222,-4.79615,1.94901
R,-1.70301,9.81409,-1.84515,-4.82215,-1.59701,9.96554,-1.71539,9.77637,-1.93497,-4.80939,0.500219
